random_seed,training_ratio,epochs,batch_size,N,scaling,sae_hidden_layers,SAE_ACTIVATION,SAE_BIAS,SAE_OPTIMIZER,SAE_LOSS,classifier_hidden_layers,CLASSIFIER_ACTIVATION,CLASSIFIER_BIAS,CLASSIFIER_OPTIMIZER,CLASSIFIER_LOSS,dropout,acc_bld,acc_flr,acc_bf,loc_failure,mean_pos_err,mean_pos_err_weighted
0,0.9,20,10,8,0.2,[64],relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.911791179,0.910891089,0,9.758961936,9.374422065
0,0.9,20,10,8,0.2,[128],relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.901890189,0.901890189,0,10.00763893,9.795707524
0,0.9,20,10,8,0.2,[256],relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.912691269,0.911791179,0.004935834,10.16059221,9.9317202
0,0.9,20,10,8,0.2,[512],relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99729973,0.915391539,0.914491449,0.00492126,9.638728019,9.192095037
0,0.9,20,10,8,0.2,"[64, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99729973,0.912691269,0.910891089,0.003952569,10.04949547,9.692657262
0,0.9,20,10,8,0.2,"[64, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.913591359,0.912691269,0.000986193,9.504681152,9.22228858
0,0.9,20,10,8,0.2,"[64, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.923492349,0.923492349,0.000974659,9.798875551,9.484355323
0,0.9,20,10,8,0.2,"[128, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,1,0.909090909,0.909090909,0,9.839493714,9.449175815
0,0.9,20,10,8,0.2,"[128, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.917191719,0.917191719,0.000981354,9.699431781,9.447302024
0,0.9,20,10,8,0.2,"[128, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.909990999,0.909990999,0.001978239,10.46410267,10.16562519
0,0.9,20,10,8,0.2,"[256, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.912691269,0.911791179,0,9.839892358,9.480521105
0,0.9,20,10,8,0.2,"[256, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,1,0.921692169,0.921692169,0.002929688,9.894580813,9.461283815
0,0.9,20,10,8,0.2,"[256, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.909090909,0.909090909,0.004950495,9.905753459,9.6012376
0,0.9,20,10,8,0.2,"[512, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,1,0.929792979,0.929792979,0,10.39307435,10.14324063
0,0.9,20,10,8,0.2,"[512, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.915391539,0.915391539,0,9.723699212,9.424058519
0,0.9,20,10,8,0.2,"[512, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.915391539,0.915391539,0,9.903433098,9.421848626
0,0.9,20,10,8,0.2,"[64, 128, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.98649865,0.917191719,0.910891089,0,9.774820831,9.389847601
0,0.9,20,10,8,0.2,"[64, 128, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.903690369,0.902790279,0,9.890607323,9.587097811
0,0.9,20,10,8,0.2,"[64, 256, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,1,0.927092709,0.927092709,0.00776699,10.31845115,10.09461596
0,0.9,20,10,8,0.2,"[64, 256, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99009901,0.920792079,0.912691269,0,10.02611178,9.617841901
0,0.9,20,10,8,0.2,"[64, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99819982,0.916291629,0.916291629,0,10.43041578,10.18012561
0,0.9,20,10,8,0.2,"[128, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99279928,0.909090909,0.903690369,0,9.87181844,9.498856174
0,0.9,20,10,8,0.2,"[256, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99639964,0.916291629,0.914491449,0,9.446607675,9.327134051
0,0.9,20,10,8,0.2,"[512, 512]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99549955,0.901890189,0.898289829,0,9.633828997,9.313372582
0,0.9,20,10,8,0.2,"[64, 64, 64]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.918091809,0.917191719,0.005888126,10.38158861,10.01948196
0,0.9,20,10,8,0.2,"[64, 64, 128]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.911791179,0.910891089,0,9.969492628,9.616817818
0,0.9,20,10,8,0.2,"[64, 64, 256]",relu,FALSE,adam,mse,"[64, 128]",relu,FALSE,adam,binary_crossentropy,0.2,0.99909991,0.911791179,0.911791179,0.001974334,9.940671448,9.673998203
